player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Kahleia-Grobbulus,9/30/20,23:59:08,1601542748-53,[Seal of the Archmagus],17110,item:17110::::::::60,Upgrade,0,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cff0070dd|Hitem:2933::::::::60:::11::::|h[Seal of Wrynn]|h|r,|cff0070dd|Hitem:13096::::::::60:::::::|h[Band of the Hierophant]|h|r,2,false,Miscellaneous,Finger,,Estaris-Grobbulus
Zayá-Grobbulus,9/30/20,22:13:48,1601536428-11,[Malfurion's Blessed Bulwark],19405,item:19405::::::::60,Offspec,1,DRUID,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cffa335ee|Hitem:16833::::::::60:::::::|h[Cenarion Vestments]|h|r,,4,false,Leather,Chest,,Estaris-Grobbulus
Zayá-Grobbulus,9/30/20,22:19:25,1601536765-27,[Head of Nefarian],19003,item:19003::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,,,4,false,Quest,,,Nefarian
Zayá-Grobbulus,9/30/20,23:56:49,1601542609-37,[Cenarion Helm],16834,item:16834::::::::60,Offspec,0,DRUID,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:22720::::::::60:::::::|h[Zulian Headdress]|h|r,,4,false,Leather,Head,,Estaris-Grobbulus
Zayá-Grobbulus,9/30/20,23:58:20,1601542700-48,[Stormrage Legguards],16901,item:16901::::::::60,Upgrade,2,DRUID,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:18875::::::::60:::::::|h[Salamander Scale Pants]|h|r,,2,false,Leather,Legs,,Ragnaros
Shagy-Grobbulus,9/30/20,22:13:01,1601536381-7,[Drake Talon Pauldrons],19394,item:19394::::::::60,Pass,0,WARRIOR,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:21330:2606:::::::60:::11::::|h[Conqueror's Spaulders]|h|r,,PASS,false,Plate,Shoulder,,Estaris-Grobbulus
Thara-Grobbulus,9/30/20,22:16:30,1601536590-24,[Taut Dragonhide Belt],19396,item:19396::::::::60,Upgrade,1,ROGUE,Blackwing Lair-40 Player,Firemaw,9,469,40,|cffa335ee|Hitem:16910::::::::60:::::::|h[Bloodfang Belt]|h|r,,2,false,Leather,Waist,,Estaris-Grobbulus
Thara-Grobbulus,9/30/20,23:58:26,1601542706-49,[Bloodfang Pants],16909,item:16909::::::::60,Best in Slot,2,ROGUE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:15062:1843:::::::60:::::::|h[Devilsaur Leggings]|h|r,,1,false,Leather,Legs,,Ragnaros
Colde-Grobbulus,9/30/20,22:11:01,1601536261-0,[Lord Alexander's Battle Axe],13003,item:13003::::::::60,Banking,nil,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,,,2,true,Two-Handed Axes,Two-Hand,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,22:11:02,1601536262-3,[Hyperion Legplates of the Whale],10389,item:10389::::::1063:649381888:60,Banking,nil,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,,,2,true,Plate,Legs,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,22:11:01,1601536261-2,[Master's Hat of the Owl],10250,item:10250::::::804:1479705728:60,Banking,nil,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,,,2,true,Cloth,Head,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,22:11:01,1601536261-1,[Feathermoon Headdress],13113,item:13113::::::::60,Banking,nil,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,,,2,true,Leather,Head,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,22:13:17,1601536397-8,[Elementium Threaded Cloak],19386,item:19386::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cff0070dd|Hitem:15138::::::::60:::::::|h[Onyxia Scale Cloak]|h|r,,4,false,Cloth,Back,,Estaris-Grobbulus
Colde-Grobbulus,9/30/20,22:51:56,1601538716-31,[Cenarion Bracers],16830,item:16830::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Magmadar,9,409,40,,,2,true,Leather,Wrist,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,22:56:54,1601539014-32,[Nightshade Helmet of the Owl],10226,item:10226::::::805:1268204928:60,Banking,nil,DRUID,Molten Core-40 Player,Gehennas,9,409,40,,,2,true,Leather,Head,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,23:15:00,1601540100-33,[Hyperion Legplates of the Bear],10389,item:10389::::::1231:1464867968:60,Banking,nil,DRUID,Molten Core-40 Player,Garr,9,409,40,,,2,true,Plate,Legs,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,23:48:47,1601542127-34,[Nightshade Spaulders of the Eagle],10228,item:10228::::::873:972350080:60,Banking,nil,DRUID,Molten Core-40 Player,Majordomo Executus,9,409,40,,,2,true,Leather,Shoulder,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,23:56:03,1601542563-36,[Stonegrip Gauntlets],13072,item:13072::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Ragnaros,9,409,40,,,2,true,Plate,Hands,,Colde-Grobbulus
Colde-Grobbulus,9/30/20,23:56:02,1601542562-35,[Sword of Zeal],6622,item:6622::::::::60,Banking,nil,DRUID,Molten Core-40 Player,Ragnaros,9,409,40,,,2,true,One-Handed Swords,Main Hand,,Colde-Grobbulus
Estaris-Grobbulus,9/30/20,22:12:11,1601536331-4,[Pauldrons of Wrath],16961,item:16961::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:18810::::::::60:::::::|h[Wild Growth Spaulders]|h|r,,1,true,Plate,Shoulder,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,22:12:20,1601536340-5,[Nemesis Spaulders],16932,item:16932::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:18810::::::::60:::::::|h[Wild Growth Spaulders]|h|r,,1,true,Cloth,Shoulder,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,22:13:42,1601536422-10,[Judgement Breastplate],16958,item:16958::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16897:928:::::::60:::::::|h[Stormrage Chestguard]|h|r,,1,true,Plate,Chest,,Nefarian
Estaris-Grobbulus,9/30/20,22:13:52,1601536432-12,[Judgement Bindings],16951,item:16951::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:16904:2566:::::::60:::::::|h[Stormrage Bracers]|h|r,,1,true,Plate,Wrist,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,22:13:56,1601536436-13,[Bindings of Transcendence],16926,item:16926::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:16904:2566:::::::60:::::::|h[Stormrage Bracers]|h|r,,1,true,Cloth,Wrist,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,22:15:32,1601536532-18,[Sabatons of Wrath],16965,item:16965::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:16898:911:::::::60:::::::|h[Stormrage Boots]|h|r,,1,true,Plate,Feet,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,22:15:44,1601536544-20,[Nemesis Boots],16927,item:16927::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:16898:911:::::::60:::::::|h[Stormrage Boots]|h|r,,1,true,Cloth,Feet,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,22:15:47,1601536547-21,[Arcane Infused Gem],19336,item:19336::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:19950::::::::60:::11::::|h[Zandalarian Hero Charm]|h|r,|cffa335ee|Hitem:19955::::::::60:::::::|h[Wushoolay's Charm of Nature]|h|r,1,true,Miscellaneous,Trinket,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,22:20:47,1601536847-30,[Helm of Endless Rage],19372,item:19372::::::::60,Disenchant,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:22720::::::::60:::::::|h[Zulian Headdress]|h|r,,1,true,Plate,Head,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,23:57:44,1601542664-40,[Breastplate of Might],16865,item:16865::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:16897:928:::::::60:::::::|h[Stormrage Chestguard]|h|r,,1,true,Plate,Chest,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,23:57:47,1601542667-41,[Felheart Robes],16809,item:16809::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:16897:928:::::::60:::::::|h[Stormrage Chestguard]|h|r,,1,true,Cloth,Chest,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,23:57:59,1601542679-44,[Cenarion Gloves],16831,item:16831::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16899:930:::::::60:::::::|h[Stormrage Handguards]|h|r,,1,true,Leather,Hands,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,23:58:07,1601542687-46,[Flamewaker Legplates],18861,item:18861::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16901:2591:::::::60:::::::|h[Stormrage Legguards]|h|r,,1,true,Plate,Legs,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,23:58:15,1601542695-47,[Flamewaker Legplates],18861,item:18861::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16901:2591:::::::60:::::::|h[Stormrage Legguards]|h|r,,1,true,Plate,Legs,,Estaris-Grobbulus
Estaris-Grobbulus,9/30/20,23:59:31,1601542771-54,[Shadowstrike],17074,item:17074::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cffa335ee|Hitem:19360:2505:::::::60:::::::|h[Lok'amir il Romathis]|h|r,|cffa335ee|Hitem:19312::::::::60:::14::::|h[Lei of the Lifegiver]|h|r,1,true,Polearms,Two-Hand,,Estaris-Grobbulus
Jaequellin-Grobbulus,10/01/20,00:00:11,1601542811-58,[Crimson Shocker],17077,item:17077::::::::60,Offspec,0,WARLOCK,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:19967::::::::60:::::::|h[Thoughtblighter]|h|r,,4,false,Wands,,,Estaris-Grobbulus
Lorianne-Grobbulus,10/01/20,00:00:15,1601542815-59,[Aurastone Hammer],17105,item:17105::::::::60,Best in Slot,1,PALADIN,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:18717::::::::60:::1::::|h[Hammer of the Grand Crusader]|h|r,,1,false,One-Handed Maces,One-Hand,bis until I can get into BWL-hoping to gear as 2ndary healer,Estaris-Grobbulus
Lorianne-Grobbulus,10/01/20,00:00:32,1601542832-60,[Malistar's Defender],17106,item:17106::::::::60,Upgrade,1,PALADIN,Molten Core-40 Player,Ragnaros,9,409,40,,,2,false,Shields,Off Hand,to go with OH,Ragnaros
Lorianne-Grobbulus,10/01/20,00:01:11,1601542871-61,[Wild Growth Spaulders],18810,item:18810::::::::60,Best in Slot,0,PALADIN,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:22234::::::::60:::1::::|h[Mantle of Lost Hope]|h|r,,1,false,Leather,Shoulder,bis until I can get into BWL-hoping to gear as 2ndary heale,Estaris-Grobbulus
Estaris-Grobbulus,10/01/20,00:00:07,1601542807-57,[The Eye of Divinity],18646,item:18646::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:19950::::::::60:::11::::|h[Zandalarian Hero Charm]|h|r,|cffa335ee|Hitem:19955::::::::60:::::::|h[Wushoolay's Charm of Nature]|h|r,1,true,Miscellaneous,Trinket,,Estaris-Grobbulus
Estaris-Grobbulus,10/01/20,00:03:44,1601543024-63,[Felheart Pants],16810,item:16810::::::::60,Disenchant,0,DRUID,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16901:2591:::::::60:::::::|h[Stormrage Legguards]|h|r,,1,true,Cloth,Legs,,Estaris-Grobbulus
Kahleia-Grobbulus,10/01/20,00:00:03,1601542803-56,[Band of Sulfuras],19138,item:19138::::::::60,Upgrade,0,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:2933::::::::60:::11::::|h[Seal of Wrynn]|h|r,|cff0070dd|Hitem:13096::::::::60:::::::|h[Band of the Hierophant]|h|r,2,false,Miscellaneous,Finger,,Ragnaros
Pteradactyl-Grobbulus,10/01/20,00:02:07,1601542927-62,[Fire Runed Grimoire],19142,item:19142::::::::60,PVP,1,MAGE,Molten Core-40 Player,Baron Geddon,9,409,40,|cffa335ee|Hitem:19310::::::::60:::14::::|h[Tome of the Ice Lord]|h|r,,3,false,Miscellaneous,Held In Off-hand,,Estaris-Grobbulus
